,win,lose
0,Colby Covington,Tyron Woodley
1,Khamzat Chimaev,Gerald Meerschaert
2,Johnny Walker,Ryan Spann
3,Mackenzie Dern,Randa Markos
4,Kevin Holland,Darren Stewart
5,David Dvorak,Jordan Espinosa
6,Damon Jackson,Mirsad Bektic
7,Mayra Bueno Silva,Mara Romero Borella
8,Jessica-Rose Clark,Sarah Alpar
9,Darrick Minner,TJ Laramie
10,Randy Costa,Journey Newson
11,Andre Ewell,Irwin Rivera
12,Tyson Nam,Jerome Rivera
13,Michelle Waterson,Angela Hill
14,Ottman Azaitar,Khama Worthy
15,Roxanne Modafferi,Andrea Lee
16,Ed Herman,Mike Rodriguez
17,Bobby Green,Alan Patrick
18,Billy Quarantillo,Kyle Nelson
19,Sijara Eubanks,Julia Avila
20,Kevin Croom,Roosevelt Roberts
21,Alexandr Romanov,Roque Martinez
22,Jalin Turner,Brok Weaver
23,Bryan Barberena,Anthony Ivy
24,Sabina Mazo,Justine Kish
25,Alistair Overeem,Augusto Sakai
26,Ovince Saint Preux,Alonzo Menifield
27,Michel Pereira,Zelim Imadaev
28,Andre Muniz,Bartosz Fabinski
29,Brian Kelleher,Ray Rodriguez
30,Viviane Araujo,Montana De La Rosa
31,Hunter Azure,Cole Smith
32,Aleksandar Rakic,Anthony Smith
33,Neil Magny,Robbie Lawler
34,Alexa Grasso,Ji Yeon Kim
35,Ricardo Lamas,Bill Algeo
36,Impa Kasanganay,Maki Pitolo
37,Zak Cummings,Alessio Di Chirico
38,Alex Caceres,Austin Springer
39,Sean Brady,Christian Aguilera
40,Polyana Viana,Emily Whitmire
41,Mallory Martin,Hannah Cifers
42,Frankie Edgar,Pedro Munhoz
43,Mike Rodriguez,Marcin Prachnio
44,Joe Solecki,Austin Hubbard
45,Shana Dobson,Mariya Agapova
46,Daniel Rodriguez,Dwight Grant
47,Amanda Lemos,Mizuki Inoue
48,Jordan Wright,Ike Villanueva
49,Matthew Semelsberger,Carlton Minus
50,Trevin Jones,Timur Valiev
51,Stipe Miocic,Daniel Cormier
52,Marlon Vera,Sean O'Malley
53,Jairzinho Rozenstruik,Junior Dos Santos
54,Daniel Pineda,Herbert Burns
55,Merab Dvalishvili,John Dodson
56,Vinc Pichel,Jim Miller
57,Virna Jandiroba,Felice Herrig
58,Danny Chavez,TJ Brown
59,Livinha Souza,Ashley Yoder
60,Chris Daukaus,Parker Porter
61,Kai Kamaka,Tony Kelley
62,Derrick Lewis,Aleksei Oleinik
63,Chris Weidman,Omari Akhmedov
64,Darren Stewart,Maki Pitolo
65,Yana Kunitskaya,Julija Stoliarenko
66,Beneil Dariush,Scott Holtzman
67,Tim Means,Laureano Staropoli
68,Kevin Holland,Joaquin Buckley
69,Nasrat Haqparast,Alexander Munoz
70,Andrew Sanchez,Wellington Turman
71,Gavin Tucker,Justin Jaynes
72,Youssef Zalal,Peter Barrett
73,Irwin Rivera,Ali AlQaisi
74,Derek Brunson,Edmen Shahbazyan
