,Name,Wins,Loses,Draws,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
0,Alex Oliveira,21.0,8.0,1.0,2.89,0.5,2.16,0.48,2.47,0.37,0.61,0.6
1,Danielle Taylor,9.0,4.0,0.0,2.75,0.29,3.31,0.71,0.2,0.2,0.7,0.2
2,Matthew Riddle,8.0,3.0,0.0,3.01,0.42,2.74,0.54,3.51,0.5,0.89,0.5
3,Jeff Curran,36.0,18.0,1.0,1.54,0.31,2.48,0.6,0.35,0.12,0.35,1.2
4,Glover Teixeira,31.0,7.0,0.0,3.74,0.47,3.87,0.55,1.87,0.38,0.6,0.9
5,Fabricio Werdum,24.0,9.0,1.0,3.59,0.52,2.64,0.55,1.75,0.31,0.31,1.2
6,Paddy Holohan,12.0,2.0,1.0,2.13,0.46,2.81,0.46,2.88,0.47,0.71,1.3
7,James Irvin,17.0,10.0,0.0,2.03,0.48,3.86,0.35,0.0,0.0,0.36,0.5
8,Paul Daley,39.0,15.0,2.0,3.14,0.47,2.37,0.6,0.91,0.4,0.64,0.0
9,Ryan Couture,11.0,5.0,0.0,3.54,0.45,2.87,0.54,1.55,0.29,0.46,1.3
10,Rameau Thierry Sokoudjou,18.0,18.0,0.0,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9
11,Bethe Correia,11.0,5.0,1.0,4.39,0.44,4.56,0.58,0.44,0.2,0.84,0.0
12,Heath Herring,28.0,16.0,0.0,2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7
13,Ivan Salaverry,14.0,9.0,0.0,3.01,0.47,1.19,0.76,0.49,0.18,0.36,2.5
14,Matt Hamill,12.0,8.0,0.0,3.69,0.42,3.8,0.61,3.0,0.34,0.91,0.0
15,Austin Hubbard,12.0,5.0,0.0,3.45,0.48,2.58,0.58,0.76,0.6,0.53,0.0
16,Nathaniel Wood,17.0,4.0,0.0,5.52,0.48,3.3,0.55,1.65,0.6,0.83,1.1
17,Remco Pardoel,9.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Hannah Cifers,10.0,7.0,0.0,4.99,0.44,5.39,0.52,0.26,1.0,0.64,0.3
19,John Howard,24.0,13.0,0.0,2.15,0.5,3.08,0.51,2.7,0.49,0.53,0.4
20,Montana De La Rosa,11.0,5.0,0.0,2.3,0.33,2.8,0.49,2.22,0.33,0.5,1.9
21,Aleksei Oleinik,59.0,14.0,1.0,3.5,0.5,3.52,0.44,2.43,0.48,0.33,2.4
22,Max Griffin,15.0,8.0,0.0,3.87,0.49,3.93,0.55,1.9,0.55,0.66,0.5
23,Vitor Miranda,12.0,5.0,0.0,2.98,0.45,2.95,0.58,0.95,0.55,0.5,0.2
24,Mark Hominick,20.0,12.0,0.0,4.08,0.42,4.18,0.69,0.25,0.66,0.71,0.9
25,Kalib Starnes,17.0,11.0,1.0,2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6
26,Darren Elkins,25.0,9.0,0.0,3.54,0.37,3.09,0.52,2.43,0.33,0.58,1.2
27,Roland Delorme,9.0,5.0,0.0,2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6
28,Joey Beltran,17.0,14.0,0.0,4.92,0.36,5.27,0.54,0.48,0.18,0.75,0.0
29,Guido Cannetti,8.0,6.0,0.0,2.85,0.51,2.17,0.5,2.64,0.5,0.75,0.3
30,Luis Henrique,10.0,5.0,0.0,1.81,0.43,2.22,0.47,3.09,0.36,0.5,1.0
31,John Dodson,22.0,12.0,0.0,3.2,0.4,3.58,0.61,0.71,0.28,0.82,0.0
32,Eddie Wineland,24.0,14.0,1.0,3.39,0.29,3.54,0.69,0.28,0.28,0.86,0.1
33,Shawn Jordan,19.0,8.0,0.0,2.87,0.5,3.3,0.47,1.97,0.38,0.76,0.1
34,Anthony Smith,33.0,16.0,0.0,2.97,0.46,4.43,0.42,0.41,0.25,0.51,0.7
35,Jess Liaudin,20.0,11.0,0.0,2.46,0.51,2.76,0.41,3.28,0.53,0.3,1.6
36,Volkan Oezdemir,17.0,5.0,0.0,5.03,0.45,4.24,0.55,0.36,0.2,0.8,0.0
37,Nate Quarry,12.0,4.0,0.0,4.96,0.44,2.8,0.66,0.25,0.33,0.6,0.0
38,Jeff Monson,60.0,26.0,1.0,0.97,0.3,2.87,0.59,1.06,0.12,0.66,0.7
39,Dokonjonosuke Mishima,21.0,7.0,2.0,1.06,0.41,1.22,0.52,2.47,0.4,0.25,1.4
40,Justin Gaethje,22.0,2.0,0.0,7.74,0.59,8.37,0.54,0.0,0.0,0.8,0.0
41,Cyrille Diabate,19.0,10.0,1.0,4.06,0.71,1.78,0.6,1.17,0.83,0.53,0.2
42,Hatsu Hioki,29.0,10.0,2.0,2.42,0.42,2.12,0.65,2.55,0.56,0.54,0.6
43,Tai Tuivasa,10.0,3.0,0.0,4.09,0.48,3.54,0.51,0.0,0.0,0.42,0.0
44,Cain Velasquez,14.0,3.0,0.0,6.37,0.57,2.33,0.57,5.13,0.45,0.85,0.4
45,Johnny Case,22.0,6.0,0.0,3.95,0.38,2.66,0.61,1.7,0.45,0.72,0.2
46,Alexander Otsuka,5.0,13.0,0.0,0.9,0.55,1.16,0.51,1.51,0.43,0.53,0.8
